poiId,name,latitude,longitude,preference,address
1,RV Culture and Art,-13.010833,-38.491897,art_gallery,Av. Cardeal da Silva  158 - Rio Vermelho  Salvador - BA  41950-495  Brazil
2,Acervo Galeria de Arte,-12.9850996,-38.4611861,art_gallery,Alameda dos Umbuzeiros  25 - Loja 03 - Caminho das arvores  Salvador - BA  41820-680  Brazil
3,Luz de Torah | Galeria de Arte em Salvador,-13.0085084,-38.5011633,art_gallery,R. do Corte Grande  58 - Loja terreo - Rio Vermelho  Salvador - BA  41950-260  Brazil
4,Midlej Galeria de Arte,-12.9850358,-38.4580604,art_gallery,Alameda das Cajazeiras  138 - Caminho das arvores  Salvador - BA  41820-470  Brazil
5,L. Folgueira Contemporary Art,-12.9734954,-38.5086988,art_gallery,Rua Gregorio de Mattos  n 15 Pelourinho - Centro  Salvador - BA  40026-240  Brazil
6,Hastalaluna,-12.9708788,-38.5126835,art_gallery,Av. Estados Unidos  258 / 311 - Comercio  Salvador - BA  40010-020  Brazil
7,TRIA Galeria de Arte,-12.9852523,-38.4604097,art_gallery,R. do Timbo  368 - Caminho das arvores  Salvador - BA  41820-660  Brazil
8,Leonel Mattos,-12.9790749,-38.4546117,art_gallery,Salvador Shopping - Av. Tancredo Neves  3133 - Caminho das arvores  Salvador - BA  41820-021  Brazil
9,Galeria Canizares UFBA,-12.9911905,-38.5211528,art_gallery,Av. Araujo Pinho  212 - Canela  Salvador - BA  41110-150  Brazil
10,Fabio Pena Cal Galeria de Arte,-12.983205,-38.4589308,art_gallery,Alameda das Espatodeas  479 - Caminho das arvores  Salvador - BA  41820-460  Brazil
11,Menelaw Sete Pinturas,-12.9728474,-38.5088416,art_gallery,Rua Joao de Deus  num  13 - Pelourinho  Salvador - BA  40026-010  Brazil
12,Desenho Realista Ssa-Aulas e Encomendas,-12.8921177,-38.4540195,art_gallery,Conjunto Piraja 1 Bloco 05 Conjunto - Piraja  Salvador - BA  41290-540  Brazil
13,ZECA FERNANDES Galeria de Arte,-12.9848045,-38.4569999,art_gallery,Alameda dos Mulungus  83 - Caminho das arvores  Salvador - BA  41820-490  Brazil
14,DeL GALLERY,-12.9340858,-38.3358251,art_gallery,quadra 697  R. Euler de Pereira Cardoso - Stella Maris  Salvador - BA  41600-045  Brazil
15,Sandra Bravo Caligrafia e Plastificacao,-13.0088016,-38.4848574,art_gallery,Rua Rodrigo Argollo  455 - Rio Vermelho  Salvador - BA  41940-220  Brazil
16,Atelie 29,-12.967597,-38.5071375,art_gallery,Centro Historico  R. do Carmo  72 - Santo Antonio  Salvador - BA  40301-380  Brazil
17,Galeria Sunset Boulevar,-13.0043808,-38.5312846,art_gallery,Condominio Edificio Daniel - R. Cesar Zama  129 - Barra  Salvador - BA  40140-030  Brazil
18,Aleluia Artes,-12.9167089,-38.3646467,art_gallery,16 41490 350 - R. Dr. Artur Couto  09 - Mussurunga I  Salvador - BA  41490-350  Brazil
19,Galeria Fundacao Pierre Verger,-12.973877,-38.511772,art_gallery,R. da Misericordia  09 - Loja 01 - Centro  Salvador - BA  40020-200  Brazil
20,Roberto Alban Gallery,-13.0096193,-38.5087891,art_gallery,R. Senta Pua  53 - Ondina  Salvador - BA  40170-180  Brazil
21,House Cupcake,-12.9514518,-38.348341,bakery,R. do Gato Arisco  145 - Itapua  Salvador - BA  41620-320  Brazil
22,JH Decorated Cakes,-12.8962796,-38.4298689,bakery,Caminho 7 - Cajazeiras 6  Salvador - BA  41336-100  Brazil
23,Padaria Portugal,-12.9495448,-38.3648894,bakery,Praca Dorival Caymmi  50 - Itapua  Salvador - BA  41620-500  Brazil
24,Paula Cake Design,-12.947428,-38.376274,bakery,R. Juiz Orlando Heleno de Melo  19 - Piata  Salvador - BA  41650-465  Brazil
25,Sara Bolos Decorados 46,-12.8689242,-38.4740835,bakery,R. Cambui  54 - Periperi  Salvador - BA  40720-500  Brazil
